iteration,image,pnp_correspondences,pnp_inliers,pnp_inlier_ratio,coverage_score,mean_track_length,median_reprojection_error_px,p90_reprojection_error_px,hard_gate_passed,score,selected,reason
3,IMG_20260516_152840.jpg,3,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152841.jpg,2,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152842.jpg,6,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152843.jpg,5,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152845.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152846.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152853.jpg,2,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152853_1.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152854.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152854_1.jpg,2,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152855.jpg,4,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152855_1.jpg,3,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_152856.jpg,2,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
3,IMG_20260516_153313.jpg,225,174,0.7733333333333333,0.5,2.0,2.722300532686874,4.430453535036598,True,174,False,
3,IMG_20260516_153314.jpg,252,205,0.8134920634920635,0.625,2.0,2.2956250603538835,4.207851083738076,True,205,False,
3,IMG_20260516_153314_1.jpg,274,234,0.8540145985401459,0.625,2.0,1.6910415656691586,3.1781599449922138,True,234,False,
3,IMG_20260516_153316_1.jpg,323,313,0.9690402476780186,0.6875,2.0,1.048202764652039,2.5967772513861287,True,313,True,
3,IMG_20260516_153317.jpg,321,305,0.9501557632398754,0.6875,2.0,0.8808363465135056,2.7331428403379814,True,305,False,
4,IMG_20260516_152840.jpg,5,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260516_152841.jpg,5,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260516_152842.jpg,9,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260516_152843.jpg,7,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
4,IMG_20260516_152845.jpg,10,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
